PlayerID,First Name,Last Name,School,Pos,Pos2,Archetype,Arch2,OVR_Grade,Height,Weight,Event,40Yard,Bench,3Cone,Shuttle,Vert,Broad,Wonderlic,ThrowDist,ThrowAcc,InsideRun,OutsideRun,Catching,RouteRun,PassBlock,RunBlock,PassRush,RunStop,ManCov,ZoneCov,LBCov,Kickoff,FG,PuntDist,CoffinPunt,G_Speed,G_Agility,G_Strength,G_ThrowPower,G_ThrowAcc,G_Catch,G_Carry,G_RouteRun,G_RunBlock,G_PassBlock,G_Tackle,G_RunDef,G_PassRush,G_ManCov,G_ZoneCov,G_KickPow,G_KickAcc,G_PuntPow,G_PuntAcc,G_IQ
20041,Paul,McCullers-Sanders,TLNE,QB,,Pocket,,B-,75,226,AAC Pro Day,4.72,32,7.20,4.20,33,121,0,7.41,8.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C-,C,B,B+,A+,B-,C+,C-,F,D,B,F,C+,A+,A,B-,C-,D+,D+,A-
74277,Kyung,Hui,NAVY,QB,,Pocket,,C,76,221,AAC Pro Day,4.76,36,7.20,4.38,35,122,0,9.29,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C-,C-,C+,A,A+,A,C,F,D,D+,C+,C,B,A+,B,B,C+,B,C,B
20901,Rich,Alcantara,TULS,RB,,Power,,A+,72,233,AAC Pro Day,4.42,37,7.08,3.99,38,125,0,0.00,0.00,8.94,7.00,4.12,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,C,A+,C+,A,C,A+,F,F,A+,A+,B,A,B,A-,D-,D-,D+,C,B
21254,Miguel,Cecil,TULS,RB,,Receiving,,B+,68,204,AAC Pro Day,4.32,32,6.45,3.97,39,132,0,0.00,0.00,7.88,7.50,7.62,4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B,A+,A,C+,B,B,C,A+,D,A,C,D-,A,B-,C-,D+,D+,F,F,B-
22179,Santiago,Rankin,ARMY,RB,,Speed,,C+,70,209,AAC Pro Day,4.34,33,7.00,4.24,34,124,0,0.00,0.00,6.82,8.17,2.50,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A,C,D+,B,B-,D,B,C,D+,B-,D-,D-,B,B,D+,D,D,D,D-,A
20821,Da'Norris,Valdes,RICE,WR,,Red Zone Threat,,B-,75,219,AAC Pro Day,4.78,35,6.95,4.13,38,129,0,0.00,0.00,0.00,0.00,6.12,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C+,B,A+,D+,C+,C,B-,C,B,D-,C+,C+,D+,A-,B+,D-,D+,F,D+,A+
74012,Jeffrey,Bouthillier,TLNE,WR,,Possession,,A-,74,191,AAC Pro Day,4.50,39,6.44,3.80,42,136,0,0.00,0.00,0.00,0.00,8.88,7.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B,A+,A+,A+,A+,A+,A,A,B-,D,D+,C-,B+,C,B,F,D+,C,C-,B
74376,William,Henry,TLNE,WR,,Speed,,B+,72,196,AAC Pro Day,4.31,37,6.48,3.98,40,129,0,0.00,0.00,0.00,0.00,7.38,9.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,A,B,B,C,B+,B+,B+,B-,F,B+,B,C+,A,C-,C+,B-,F,C,B+
74393,Joseph,Johnson,MEMP,WR,,Possession,,B-,73,191,AAC Pro Day,4.41,38,6.92,3.94,38,131,0,0.00,0.00,0.00,0.00,8.00,8.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B-,B+,B,B,A+,B,B-,B,C,D+,B+,C,B-,C,B,D-,F,F,C,B+
74848,Gregory,Green,UNT,WR,,Possession,,C,73,191,AAC Pro Day,4.72,24,7.11,4.47,33,123,0,0.00,0.00,0.00,0.00,4.38,4.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C,C,C-,D+,B,B,D+,D+,C,D-,D+,C+,D,C,B+,F,D-,C-,F,B
20349,Jordan,Wilds,TULS,TE,,Vertical Threat,,B+,76,226,AAC Pro Day,4.39,38,6.74,3.94,40,136,0,0.00,0.00,0.00,0.00,8.38,8.46,0.00,7.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,A+,B+,C+,B,A+,A+,A-,A,B,C,C,A+,A,A+,D-,F,C+,D,B+
20306,Daron,Sampson,TLNE,OT,,Pass Blocking,,A+,76,290,AAC Pro Day,5.82,46,6.85,4.30,35,122,0,0.00,0.00,0.00,0.00,0.00,0.00,8.82,7.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B+,A+,A,A+,A+,A-,A,B+,B+,A,A-,B,A+,C+,B,D+,D-,C-,C,A
74046,Joe,Wirth,NAVY,OT,,Pass Blocking,,B,76,292,AAC Pro Day,5.78,43,7.26,4.32,34,124,0,0.00,0.00,0.00,0.00,0.00,0.00,6.94,6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C,B,A-,B,B+,B,C,C,C,B-,A,C+,A+,A+,B,B,D+,D-,C+,B
