First Name,Last Name,Position,Archetype,Height,Weight,City,High School,State,Croot For,RelativeID,Relative Type,Notes,Preference 1,Preference 2,ethnicity,hair,gender,,,,,,,,,,,,,,,,,,,,,,,,, 
Stephen,Klemm,DT,Balanced,75,285,South Bend,South Bend Riley,IN,npklemm,0,0,Kind of a little prick,Campus Life,Program Development,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben,Klemm,K,Power,70,185,South Bend,South Bend Riley,IN,npklemm,0,0,Kind of a little prick,Campus Life,Program Development,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquise,Laws,QB,Scrambler,75,230,Oxford,Oxford HS,MS,TuscanSota,0,0,Fastest Quarterback in Mississippi State HS Football History,Program Development,Conference Prestige,african,0f0902,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannonball,Jackson III,RB,Power,69,248,Lincoln,Lincoln HS,NE,alexfall862,0,0,His mother was a birch oak and his father was a cannonball,Facilities,Program Development,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannonball,Jackson IV,QB,Pocket,77,275,Lincoln,Lincoln HS,NE,alexfall862,0,0,His mother was a birch oak and his father was a cannonball,Facilities,Program Development,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy,Gale,QB,Field General,72,209,Dallas,Westlake,TX,jedibob5,0,0,Friday Night Lights?,Facilities,Campus Life,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toussaint,Bissainthe,RB,Receiving,73,209,Rosalia,Flinthills,KS,bundy,0,0,Son of Haitian immigrants,Conference Prestige,Program Development,african,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronco,Montana,C,Pass Blocking,75,313,Hot Springs,Hot Springs,SD,bundy,0,0,Just a big guy from a small town,Conference Prestige,Program Development,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby,Binckley,DT,Nose Tackle,74,298,Gwinn,Gwinn,MI,Jieret,0,0,"Believes in Sasquatch, but thinks Bigfoot fiction is created by the deep state",Conference Prestige,Program Development,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca,Forte,QB,Balanced,75,225,Fairfield,Don Bosco Prep,NJ,Kirby,0,0,For Val Forte. An Italian with a vendetta on the Howard family,Coach,Campus Life,caucasian,5a3825,,,,,,,,,,,,,,,,,,,,,,,,,,
John,Paul,TE,Vertical Threat,76,242,South Bend,Saint Joseph,IN,LordLittlebutt,0,0,Born and raised Irish fan,Religion,Program Development,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
