RecruitID,First Name,Last Name,Weight,,,,,,,,
114578,James,Park,288,,,,,,,,
114005,Thomas,Atkinson,186,,,,,,,,
109151,Scott,Cooke,280,,,,,,,,
111067,Panagiotis,Powell,239,,,,,,,,
113958,Matthew,Good,220,,,,,,,,
108720,Eddie,Coffman,284,,,,,,,,
112086,Simon,Bryant,291,,,,,,,,
109718,Samuel,Maze,234,,,,,,,,
112625,Trevor,Newby,203,,,,,,,,
110753,Robert,Harris,255,,,,,,,,
110476,Michael,Becker,193,,,,,,,,
112724,Darryl,Davies,283,,,,,,,,
113766,Antoine,Burton,244,,,,,,,,
112029,Ronaldo,Smith,237,,,,,,,,
114736,Tim,Munson,231,,,,,,,,
113231,Richard,Rideout,195,,,,,,,,
112316,James,Bailey,275,,,,,,,,
111814,James,Johnson,292,,,,,,,,
111196,Victor,Martinez,289,,,,,,,,
108500,Kurt,Savage,212,,,,,,,,
112827,Aaron,Boutte,289,,,,,,,,
113927,Adan,Castillo,290,,,,,,,,
109627,Michael,Perez,271,,,,,,,,
113688,Frank,Zimmerman,238,,,,,,,,
109095,Rafael,Marrero,242,,,,,,,,
113851,John,Mcsharry,194,,,,,,,,
113414,Robert,Fuentes,211,,,,,,,,
110654,Ronald,Stephens,295,,,,,,,,
114016,Ming,Lum,229,,,,,,,,
111379,Michael,Sellers,215,,,,,,,,
110219,Donald,Pierre,285,,,,,,,,
112558,Henry,Reyes,294,,,,,,,,
111638,Darren,Klennert,237,,,,,,,,
113778,Ronald,Hunt,286,,,,,,,,
114485,Ronald,Bradley,291,,,,,,,,
114689,Richard,Rademacher,208,,,,,,,,
114503,Bruce,Hart,231,,,,,,,,
111621,Michael,Romero,224,,,,,,,,
111413,Eric,Byers,195,,,,,,,,
113012,Stephen,Radtke,203,,,,,,,,
111718,Suresh,Lantin,170,,,,,,,,
112927,Mohammad,Gorman,197,,,,,,,,
111348,Damian,Svoboda,242,,,,,,,,
113418,Robert,Broussard,291,,,,,,,,
112499,Andrew,Thompson,198,,,,,,,,
113045,Nicholas,Folsom,293,,,,,,,,
110246,Fred,Petersen,180,,,,,,,,
108818,Michael,Long,185,,,,,,,,
108590,David,Geffrard,189,,,,,,,,
108663,Walter,Craft,196,,,,,,,,
109924,Daniel,Escalante,182,,,,,,,,
109136,Daniel,Morlan,187,,,,,,,,
114905,Kirk,Bornstein,237,,,,,,,,
109336,Anthony,Pratt,183,,,,,,,,
111910,Clive,Gavin,295,,,,,,,,
113716,Michael,Gonzalez,290,,,,,,,,
113726,Jesse,Willis,290,,,,,,,,
113362,Joe,Mcdaniels,196,,,,,,,,
111935,Jack,Rushing,293,,,,,,,,
109926,John,Abbott,292,,,,,,,,
111427,Max,Holloway,289,,,,,,,,
113586,Matthew,Cary,189,,,,,,,,
112697,Russell,Self,188,,,,,,,,
112907,Stephen,Jarman,195,,,,,,,,
110173,Thomas,Vaughn,197,,,,,,,,
114536,Alfredo,Contreras,233,,,,,,,,
111580,Richard,Davis,240,,,,,,,,
108889,Cyril,Herren,170,,,,,,,,
108801,Alan,Sparks,280,,,,,,,,
111170,William,Shively,196,,,,,,,,
109107,Milton,Burgess,223,,,,,,,,
109391,Herbert,Claypool,295,,,,,,,,
110526,Steven,Lamar,204,,,,,,,,
112547,Jesse,Mauzy,280,,,,,,,,
111806,Anthony,Larson,190,,,,,,,,
114726,Ruben,Sanchez,187,,,,,,,,
108643,Sean,Briggs,295,,,,,,,,
111727,Andrew,Vidic,291,,,,,,,,
108617,Patrick,Osiecki,297,,,,,,,,
112017,Ho,Poon,192,,,,,,,,
108588,John,White,181,,,,,,,,
109184,Donald,Marriott,194,,,,,,,,
114348,Jacques,Conner,195,,,,,,,,
108551,Jeffrey,Stott,230,,,,,,,,
111366,Charles,Forney,194,,,,,,,,
113527,Fred,Allison,288,,,,,,,,
110766,Michael,Nye,193,,,,,,,,
108894,Peter,Liu,226,,,,,,,,
114454,Michael,Frondorf,294,,,,,,,,
108473,Lawrence,Tondre,283,,,,,,,,
114090,Prakash,Edralin,181,,,,,,,,
108753,Harold,Patton,295,,,,,,,,
108523,Shawn,Moyer,195,,,,,,,,
111661,Eleazar,Abeyta,302,,,,,,,,
113253,David,Mendoza,197,,,,,,,,
114456,Charles,Turner,289,,,,,,,,
114691,Ricardo,Correa,291,,,,,,,,
112058,Walter,Lamey,191,,,,,,,,
110640,William,Bledsoe,280,,,,,,,,
110055,Michael,Henderson,221,,,,,,,,
111092,James,Johnson,236,,,,,,,,
110889,David,Martin,284,,,,,,,,
110628,Dennis,Sibley,202,,,,,,,,
114042,Sean,Knight,299,,,,,,,,
113638,Bruce,Mcqueen,212,,,,,,,,
108960,Paul,Loc,191,,,,,,,,
112145,Ying,Bharath,188,,,,,,,,
113869,Ivan,Willis,190,,,,,,,,
113568,Jon,Basal,290,,,,,,,,
112954,Ronald,Clark,175,,,,,,,,
111861,Paul,Rowell,233,,,,,,,,
110117,Allen,Watson,239,,,,,,,,
111688,Victor,Frongillo,234,,,,,,,,
112169,Philip,Martin,185,,,,,,,,
114739,James,Williams,295,,,,,,,,
114555,Rakesh,Moriguchi,196,,,,,,,,
112605,Charles,Bertram,197,,,,,,,,
113791,Jamie,Morris,289,,,,,,,,
110602,Jeremy,Obrien,172,,,,,,,,
114719,Russell,Daniels,288,,,,,,,,
110904,Kelvin,Reed,284,,,,,,,,
109368,Chao,Ali,284,,,,,,,,
113199,Walter,Segura,300,,,,,,,,
109536,Kevin,Koehl,192,,,,,,,,
112296,Arnold,Shuler,288,,,,,,,,
109459,John,Bogue,194,,,,,,,,
114486,Arthur,Morris,196,,,,,,,,
109574,Chun,Abe,185,,,,,,,,
108906,Earl,Holland,184,,,,,,,,
109167,David,Pieczonka,236,,,,,,,,
113509,Marvin,Dorvil,292,,,,,,,,
114183,Thomas,Andrews,237,,,,,,,,
113926,Pete,Howell,280,,,,,,,,
112948,George,Perkins,180,,,,,,,,
112741,John,Jackson,239,,,,,,,,
110555,Robert,Winters,183,,,,,,,,
110656,Wayne,Parker,185,,,,,,,,
112553,Tung,Nguyen,291,,,,,,,,
111389,Dexter,Chambers,194,,,,,,,,
113841,Jose,Lockhart,194,,,,,,,,
113456,Russell,Hines,288,,,,,,,,
113753,Anil,Ikeda,211,,,,,,,,
112615,Marcel,Delong,194,,,,,,,,
112186,William,Harding,180,,,,,,,,
113856,William,Cameron,286,,,,,,,,
109312,Calvin,Klang,291,,,,,,,,
108569,Jamie,Bonini,239,,,,,,,,
114718,Gregory,Hopson,192,,,,,,,,
109570,Garry,Green,193,,,,,,,,
111495,David,Hood,238,,,,,,,,
113493,Lloyd,Thiel,248,,,,,,,,
112673,Rajan,Palanca,302,,,,,,,,
114080,Keith,Forero,190,,,,,,,,
112648,Bradley,Rogers,242,,,,,,,,
114741,Nathaniel,Ballew,188,,,,,,,,
113867,Howard,Berman,240,,,,,,,,
114102,Leroy,Kirk,190,,,,,,,,
109443,Gary,Krause,194,,,,,,,,
109879,Jin,Ye,291,,,,,,,,
112903,Richard,Stoll,293,,,,,,,,
114595,Eric,Chhay,211,,,,,,,,
109814,Charles,Mclain,196,,,,,,,,
110431,Lucio,Cuadros,191,,,,,,,,
110955,Daniel,Thompson,195,,,,,,,,
112736,Timothy,Mcwright,197,,,,,,,,
111570,Richard,Schwarz,184,,,,,,,,
113269,Thomas,Obrien,174,,,,,,,,
109663,Ray,Rattray,235,,,,,,,,
113941,Brian,Sawyer,193,,,,,,,,
111573,Clinton,Williams,238,,,,,,,,
111927,Martin,Marks,208,,,,,,,,
111447,Frank,Mcdaniel,278,,,,,,,,
109642,Jacques,Turner,231,,,,,,,,
110707,Christos,Pomeranz,279,,,,,,,,
114191,Brian,Keller,234,,,,,,,,
108538,Matthew,Beaton,188,,,,,,,,
109434,Jose,Delgado,296,,,,,,,,
108994,Jack,Sanders,224,,,,,,,,
110039,Sung,Dula,202,,,,,,,,
108877,George,Thompson,221,,,,,,,,
110605,Erik,Keller,284,,,,,,,,
112255,Clarence,Calhoun,299,,,,,,,,
111253,Danny,Graham,196,,,,,,,,
114901,Abel,Nunez,234,,,,,,,,
111999,Walter,Csapo,293,,,,,,,,
112260,James,Dickerson,198,,,,,,,,
108602,Keith,Bruskotter,193,,,,,,,,
111232,Michael,Foster,196,,,,,,,,
111835,James,Richardson,190,,,,,,,,
114688,James,Dionne,224,,,,,,,,
111585,David,Byrd,238,,,,,,,,
108698,Joseph,Roper,216,,,,,,,,
109633,Harold,Dalrymple,189,,,,,,,,
109392,Martin,Zamudio,316,,,,,,,,
109679,David,Cramer,279,,,,,,,,
108811,Scott,Panipinto,300,,,,,,,,
111443,Francis,Prater,235,,,,,,,,
110222,Derrick,Anderson,279,,,,,,,,
109894,Brian,Kochergin,237,,,,,,,,
113311,Carlos,Fernandez,195,,,,,,,,
110181,David,Mcmahon,232,,,,,,,,
111752,Michael,Campanella,220,,,,,,,,
113387,Ross,West,235,,,,,,,,
114886,Steven,Daugherty,293,,,,,,,,
111596,Richard,Fien,189,,,,,,,,
109000,Qing,Kwan,292,,,,,,,,
114780,William,Green,234,,,,,,,,
114146,James,Batiste,275,,,,,,,,
112043,Lawrence,Atkins,232,,,,,,,,
109773,Israel,Ammons,221,,,,,,,,
112193,Lloyd,Solem,177,,,,,,,,
110912,Phillip,Vaughn,189,,,,,,,,
111148,Solomon,Luevano,290,,,,,,,,
114708,David,Cicone,202,,,,,,,,
113398,Ralph,Cates,187,,,,,,,,
112286,Allan,Cadmus,301,,,,,,,,
114541,Martin,Arroyo,289,,,,,,,,
109424,Rafael,Lam,198,,,,,,,,
111185,James,Simmons,170,,,,,,,,
111987,Ernesto,Granata,233,,,,,,,,
112224,Charles,Boston,191,,,,,,,,
112636,James,Combs,284,,,,,,,,
113567,Harold,Pellot,203,,,,,,,,
110108,William,Brown,275,,,,,,,,
114060,Gregory,Perucci,238,,,,,,,,
109496,Otis,Diouf,238,,,,,,,,
110309,Brian,Whitfield,291,,,,,,,,
109612,Michael,Bussanich,284,,,,,,,,
113733,Joseph,Acerra,213,,,,,,,,
110937,Timothy,Matthews,241,,,,,,,,
114728,Edmund,Dang,297,,,,,,,,
114450,James,Dishman,195,,,,,,,,
111033,Jerry,Ali,240,,,,,,,,
110906,Patrick,Ellis,216,,,,,,,,
114842,Marc,Krueger,281,,,,,,,,
110882,Gregory,Nguyen,191,,,,,,,,
110132,Cesar,Sauls,288,,,,,,,,
112758,Jeffrey,Asif,290,,,,,,,,
114204,John,Reymundo,289,,,,,,,,
114061,Nicholas,Banks,287,,,,,,,,
112818,Gregory,Blackerby,187,,,,,,,,
112620,Samuel,Toribio,231,,,,,,,,
108912,Joseph,Welch,236,,,,,,,,
111287,Ulysses,Durham,287,,,,,,,,
112644,Cliff,Straker,299,,,,,,,,
110517,Louis,Dehaven,198,,,,,,,,
112834,Christopher,Fugal,180,,,,,,,,
114322,Phillip,Felps,196,,,,,,,,
114392,Charles,Jameson,191,,,,,,,,
109952,Benjamin,Jamrog,231,,,,,,,,
112140,Roman,Christian,195,,,,,,,,
113915,David,Schenker,190,,,,,,,,
111699,Richard,Giesler,198,,,,,,,,
110724,John,Bailey,298,,,,,,,,
110824,Li,Liang,285,,,,,,,,
111111,Marcus,Harper,181,,,,,,,,
108703,William,Feisel,173,,,,,,,,
108812,Aaron,Smith,224,,,,,,,,
114502,Stephen,Stephans,300,,,,,,,,
108950,Robert,Fronckowiak,227,,,,,,,,
110166,Doug,Williams,185,,,,,,,,
112972,Richard,Boyce,196,,,,,,,,
110311,Nathaniel,Fairfax,202,,,,,,,,
114345,William,Murphy,249,,,,,,,,
112931,Ronald,Franklin,193,,,,,,,,
109909,Oleg,Remington,290,,,,,,,,
113705,Curtis,Williams,204,,,,,,,,
108636,Simon,Le,275,,,,,,,,
110299,Quan,Bartolo,295,,,,,,,,
108660,Guang,Ahluwalia,189,,,,,,,,
109093,Marc,Carter,247,,,,,,,,
113785,Dan,Nguyen,209,,,,,,,,
110957,Michael,Mahn,208,,,,,,,,
109626,Byron,Herbstman,233,,,,,,,,
113816,Ricky,Johnson,208,,,,,,,,
109963,Jeffrey,Mcneil,278,,,,,,,,
113067,Keith,Thomas,294,,,,,,,,
110315,Bryan,Smalley,236,,,,,,,,
110467,Hao,Fifita,227,,,,,,,,
110163,Steven,Pai,201,,,,,,,,
