id,college,team_that_season,season_id,year,game_type,first_name,last_name,position,archetype,position_two,archetype_two,height,weight,age,stars,city,high_school,state,personality,work_ethic,overall_grade,agility_grade,speed_grade,carrying_grade,catching_grade,football_iq_grade,route_running_grade,zone_coverage_grade,man_coverage_grade,strength_grade,tackle_grade,pass_block_grade,run_block_grade,pass_rush_grade,run_defense_grade,throw_power_grade,throw_accuracy_grade,kick_power_grade,kick_accuracy_grade,punt_power_grade,punt_accuracy_grade,relative_id,relative_type,notes,passing_yards,pass_attempts,pass_completions,passing_t_ds,interceptions,longest_pass,sacks,rush_attempts,rushing_yards,rushing_t_ds,fumbles,longest_rush,targets,catches,receiving_yards,receiving_t_ds,longest_reception,solo_tackles,assisted_tackles,tackles_for_loss,sacks_made,forced_fumbles,recovered_fumbles,pass_deflections,interceptions_caught,safeties,defensive_t_ds,fg_made,fg_attempts,longest_fg,extra_points_made,extra_points_attempted,kickoff_touchbacks,punts,punt_touchbacks,punts_inside20,kick_returns,kick_return_t_ds,kick_return_yards,punt_returns,punt_return_t_ds,punt_return_yards,st_solo_tackles,st_assisted_tackles,punts_blocked,fg_blocked,snaps,pancakes,sacks_allowed,played_game,started_game,games_played,qb_rating,tackles,rushing_avg,passing_avg,receiving_avg,completion,created_at,was_injured,weeks_of_recovery,injury_type,gross_punt_distance,net_punt_distance,is_redshirt
19978,NEB,NEB,2,1,2,Patrick,Hernandez,WR,Possession,,,73,188,23,5,Oviedo,Oviedo,FL,Lazy,Average,A+,A,B,A+,A+,A+,A,B,A+,B+,A+,B,B-,C,A-,A,B,C-,C-,C+,C-,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,45,29,310,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,8,0,0,0,0,10.689655172413794,0,56:30.3,0,0,,0,0,0
19978,NEB,NEB,4,3,2,Patrick,Hernandez,WR,Possession,,,73,188,23,5,Oviedo,Oviedo,FL,Lazy,Average,A+,A,B,A+,A+,A+,A,B,A+,B+,A+,B,B-,C,A-,A,B,C-,C-,C+,C-,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,107,63,871,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,0,0,13,0,0,0,0,13.825396825396826,0,00:04.3,0,0,,0,0,0
19978,NEB,NEB,4,2024,3,Patrick,Hernandez,WR,Possession,,,73,188,23,5,Oviedo,Oviedo,FL,Lazy,Average,A+,A,B,A+,A+,A+,A,B,A+,B+,A+,B,B-,C,A-,A,B,C-,C-,C+,C-,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4,4,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,1,0,0,0,0,6.25,0,25:23.1,0,0,,0,0,0
19978,NEB,NEB,5,4,2,Patrick,Hernandez,WR,Possession,,,73,188,23,5,Oviedo,Oviedo,FL,Lazy,Average,A+,A,B,A+,A+,A+,A,B,A+,B+,A+,B,B-,C,A-,A,B,C-,C-,C+,C-,0,0,,0,0,0,0,0,0,0,2,7,0,0,5,31,25,334,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,12,0,0,3.5,0,13.36,0,01:20.0,0,0,,0,0,0
19978,NEB,NEB,5,4,3,Patrick,Hernandez,WR,Possession,,,73,188,23,5,Oviedo,Oviedo,FL,Lazy,Average,A+,A,B,A+,A+,A+,A,B,A+,B+,A+,B,B-,C,A-,A,B,C-,C-,C+,C-,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,00:46.8,0,0,,0,0,0
19978,NEB,NEB,6,5,2,Patrick,Hernandez,WR,Possession,,,73,188,23,5,Oviedo,Oviedo,FL,Lazy,Average,A+,A,B,A+,A+,A+,A,B,A+,B+,A+,B,B-,C,A-,A,B,C-,C-,C+,C-,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,125,97,1243,10,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,27,0,364,0,0,0,0,850,3,0,0,0,12,0,0,0,0,12.814432989690722,0,00:05.8,0,0,,0,0,0
19978,NEB,NEB,6,5,3,Patrick,Hernandez,WR,Possession,,,73,188,23,5,Oviedo,Oviedo,FL,Lazy,Average,A+,A,B,A+,A+,A+,A,B,A+,B+,A+,B,B-,C,A-,A,B,C-,C-,C+,C-,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,26,0,0,0,0,48,0,0,0,0,1,0,0,0,0,18,0,00:23.0,0,0,,0,0,0
19981,TLNE,TLNE,3,2,2,Kevin,Robles,ILB,Field General,,,74,236,23,5,West Palm Beach,Palm Beach Lakes,FL,Average,Average,A,A+,A+,A,B,A,C-,A-,B,B+,A+,D,F,A+,B,A+,A,D+,C-,D,B-,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,12,0,54,0,0,0,0,29:06.1,0,0,,0,0,0
19981,TLNE,TLNE,4,0,2,Kevin,Robles,ILB,Field General,,,74,236,23,5,West Palm Beach,Palm Beach Lakes,FL,Average,Average,A,A+,A+,A,B,A,C-,A-,B,B+,A+,D,F,A+,B,A+,A,D+,C-,D,B-,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,4,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,0,0,0,0,12,0,78,0,0,0,0,00:17.0,0,0,,0,0,0
19981,TLNE,TLNE,4,2024,3,Kevin,Robles,ILB,Field General,,,74,236,23,5,West Palm Beach,Palm Beach Lakes,FL,Average,Average,A,A+,A+,A,B,A,C-,A-,B,B+,A+,D,F,A+,B,A+,A,D+,C-,D,B-,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,35:52.5,0,0,,0,0,0
